AnimalID	BW	BG	Date	State
CRISPR01M.12	29.7	6.1	2019/04/11	Random
CRISPR01M.13	30.9	9	2019/04/11	Random
CRISPR01M.14	27.3	7.3	2019/04/11	Random
CRISPR01M.15	33.2	8.8	2019/04/11	Random
CRISPR01M.16	31.8	8.5	2019/04/11	Random
CRISPR01M.17	33.6	9.4	2019/04/11	Random
CRISPR01M.18	33.1	9.2	2019/04/11	Random
CRISPR01M.19	31.2	10	2019/04/11	Random
CRISPR01M.20	32.9	10.8	2019/04/11	Random
CRISPR01M.21	34.2	11.3	2019/04/11	Random
CRISPR01M.22	33.1	9.7	2019/04/11	Random
CRISPR01M.23	30	8.6	2019/04/11	Random
CRISPR01M.24	32.3	9.7	2019/04/11	Random
CRISPR01M.25	33.4	9.4	2019/04/11	Random
CRISPR01M.26	32.7	8.2	2019/04/11	Random
CRISPR01M.27	32.8	8.6	2019/04/11	Random
CRISPR01M.28	30.8	7.3	2019/04/11	Random
CRISPR01M.29	30.5	6	2019/04/11	Random
CRISPR01M.30	31.3	8	2019/04/11	Random
CRISPR01M.01	35.7	12.1	2019/04/18	Random
CRISPR01M.02	31.5	7.5	2019/04/18	Random
CRISPR01M.03	30.4	6.7	2019/04/18	Random
CRISPR01M.04	34.7	10.5	2019/04/18	Random
CRISPR01M.05	35.4	8.3	2019/04/18	Random
CRISPR01M.06	28.7	6.3	2019/04/18	Random
CRISPR01M.07	31.4	7.9	2019/04/18	Random
CRISPR01M.08	32.8	7.2	2019/04/18	Random
CRISPR01M.09	33.8	9.8	2019/04/18	Random
CRISPR01M.10	33.1	8.4	2019/04/18	Random
CRISPR01M.11	28.2	5.3	2019/04/18	Random
CRISPR01M.12	30.9	7.1	2019/04/18	Random
CRISPR01M.13	31.3	9.6	2019/04/18	Random
CRISPR01M.14	29.8	7.6	2019/04/18	Random
CRISPR01M.15	34.2	5.9	2019/04/18	Random
CRISPR01M.16	31.7	6	2019/04/18	Random
CRISPR01M.17	34.3	7.8	2019/04/18	Random
CRISPR01M.18	32.8	6.4	2019/04/18	Random
CRISPR01M.19	32.1	7.4	2019/04/18	Random
CRISPR01M.20	34.2	8.2	2019/04/18	Random
CRISPR01M.21	34.2	9.6	2019/04/18	Random
CRISPR01M.22	33.3	7.1	2019/04/18	Random
CRISPR01M.23	30.9	7.8	2019/04/18	Random
CRISPR01M.24	32.7	7.2	2019/04/18	Random
CRISPR01M.25	34.7	8.4	2019/04/18	Random
CRISPR01M.26	33.4	7.8	2019/04/18	Random
CRISPR01M.27	32.2	8	2019/04/18	Random
CRISPR01M.28	31	6	2019/04/18	Random
CRISPR01M.29	31.6	4.8	2019/04/18	Random
CRISPR01M.30	32.5	7.3	2019/04/18	Random
CRISPR01M.02	31.5	8.8	2019/04/24	Random
CRISPR01M.03	30.9	8.4	2019/04/24	Random
CRISPR01M.05	35.5	8.8	2019/04/24	Random
CRISPR01M.06	29.4	7.4	2019/04/24	Random
CRISPR01M.07	32.4	7.3	2019/04/24	Random
CRISPR01M.08	32.8	8.3	2019/04/24	Random
CRISPR01M.16	31.6	7.8	2019/04/24	Random
CRISPR01M.18	32.6	7.9	2019/04/24	Random
CRISPR01M.21	33.8	7.9	2019/04/24	Random
CRISPR01M.23	30	7.3	2019/04/24	Random
CRISPR01M.24	31.8	8.4	2019/04/24	Random
CRISPR01M.27	32.5	7.8	2019/04/24	Random
CRISPR01M.28	30.9	7.5	2019/04/24	Random
CRISPR01M.02	31.5	8.3	2019/05/01	Random
CRISPR01M.03	30.9	6.9	2019/05/01	Random
CRISPR01M.05	35.9	8.9	2019/05/01	Random
CRISPR01M.06	30.1	8.1	2019/05/01	Random
CRISPR01M.07	32.6	7.9	2019/05/01	Random
CRISPR01M.08	32.5	9.2	2019/05/01	Random
CRISPR01M.16	32.4	8.5	2019/05/01	Random
CRISPR01M.18	32.8	8.4	2019/05/01	Random
CRISPR01M.21	34	7.9	2019/05/01	Random
CRISPR01M.23	30.4	7.7	2019/05/01	Random
CRISPR01M.24	31.9	9.8	2019/05/01	Random
CRISPR01M.27	32.8	8	2019/05/01	Random
CRISPR01M.28	31.4	7.5	2019/05/01	Random
