AnimalID	BW	BG	GvHD	Date	State
CRISPR02M.32	33.8	7.5	0	2019/09/19	Fasted
CRISPR02M.33	31.4	8.7	0	2019/09/19	Fasted
CRISPR02M.34	33.9	6.7	0	2019/09/19	Fasted
CRISPR02M.35	30.5	7.8	0	2019/09/19	Fasted
CRISPR02M.05	29.6		0	2019/09/19	Random
CRISPR02M.06	30.1		0	2019/09/19	Random
CRISPR02M.10	30.6		0	2019/09/19	Random
CRISPR02M.11	25.8		9	2019/09/19	Random
CRISPR02M.12	32.8		0	2019/09/19	Random
CRISPR02M.30	26.2		5	2019/09/19	Random
CRISPR02M.05	28.2		2	2019/09/20	Random
CRISPR02M.06	30.8		0	2019/09/20	Random
CRISPR02M.10	31.2		0	2019/09/20	Random
CRISPR02M.12	32.7		0	2019/09/20	Random
CRISPR02M.30	25.3		7	2019/09/20	Random
CRISPR02M.01	30.9		0	2019/09/25	Random
CRISPR02M.02	29.7		0	2019/09/25	Random
CRISPR02M.03	29.9		0	2019/09/25	Random
CRISPR02M.04	30.3		0	2019/09/25	Random
CRISPR02M.07	29.8		0	2019/09/25	Random
CRISPR02M.08	31.3		0	2019/09/25	Random
CRISPR02M.09	32.3		0	2019/09/25	Random
CRISPR02M.13	29.7		0	2019/09/25	Random
CRISPR02M.14	31.1		0	2019/09/25	Random
CRISPR02M.15	30.4		0	2019/09/25	Random
CRISPR02M.16	31.5		0	2019/09/25	Random
CRISPR02M.17	33.9		0	2019/09/25	Random
CRISPR02M.18	29		0	2019/09/25	Random
CRISPR02M.19	31.7		0	2019/09/25	Random
CRISPR02M.20	32.8		0	2019/09/25	Random
CRISPR02M.21	34.6		0	2019/09/25	Random
CRISPR02M.22	31.7		0	2019/09/25	Random
CRISPR02M.23	28.4		0	2019/09/25	Random
CRISPR02M.24	31.2		0	2019/09/25	Random
CRISPR02M.25	31.4		0	2019/09/25	Random
CRISPR02M.26	31.7		0	2019/09/25	Random
CRISPR02M.27	33.7		0	2019/09/25	Random
CRISPR02M.28	26		0	2019/09/25	Random
CRISPR02M.29	32.3		0	2019/09/25	Random
CRISPR02M.31	31.7		0	2019/09/25	Random
CRISPR02M.32	33.7		0	2019/09/25	Random
CRISPR02M.33	32.6		0	2019/09/25	Random
CRISPR02M.34	34.2		0	2019/09/25	Random
CRISPR02M.35	31.8		0	2019/09/25	Random
CRISPR02M.16	30.3	7	0	2019/09/30	Fasted
CRISPR02M.17	33.3	6.8	0	2019/09/30	Fasted
CRISPR02M.18	28.5	7.8	0	2019/09/30	Fasted
CRISPR02M.19	31.3	7.4	0	2019/09/30	Fasted
CRISPR02M.20	32.1	7.6	0	2019/09/30	Fasted
CRISPR02M.01	30.2	7.6	0	2019/10/01	Fasted
CRISPR02M.02	28.9	6.3	0	2019/10/01	Fasted
CRISPR02M.03	29.1	8.5	0	2019/10/01	Fasted
CRISPR02M.04	29.7	8.3	0	2019/10/01	Fasted
CRISPR02M.07	29.1	6.9	0	2019/10/01	Fasted
CRISPR02M.08	30.4	7.4	0	2019/10/01	Fasted
CRISPR02M.09	32.2	7.7	0	2019/10/01	Fasted
CRISPR02M.21	33.2	8.1	0	2019/10/01	Fasted
CRISPR02M.22	31	8	0	2019/10/01	Fasted
CRISPR02M.23	28.1	7.2	0	2019/10/01	Fasted
CRISPR02M.24	30.3	5.6	0	2019/10/01	Fasted
CRISPR02M.25	30.6	6.9	0	2019/10/01	Fasted
CRISPR02M.26	32.2	7.4	0	2019/10/02	Fasted
CRISPR02M.27	32.7	7.6	0	2019/10/02	Fasted
