AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery	Weight
CRISPR02M.24	15	3360.23	3360.23	22.3	22.3	2019/09/19	IP	29.7
CRISPR02M.25	15	2690.49	2690.49	23	23	2019/09/19	IP	30.5
CRISPR02M.26	15	603.1	603.1	30.9	30.9	2019/09/19	IP	30.2
CRISPR02M.27	15	546.435	546.435	28	28	2019/09/19	IP	32
CRISPR02M.28	15	1402.41	1402.41	24.5	24.5	2019/09/19	IP	25
CRISPR02M.29	15	1783.44	1783.44	16.2	16.2	2019/09/19	IP	31.5
CRISPR02M.30	15	256.49	256.49	18.4	18.4	2019/09/19	IP	26.2
CRISPR02M.31	15	1216.995	1216.995	25.9	25.9	2019/09/19	IP	30.5
CRISPR02M.32	15	502.945	502.945	32.7	32.7	2019/09/19	IP	33.8
CRISPR02M.33	15	680.1	680.1	20.1	20.1	2019/09/19	IP	31.4
CRISPR02M.34	15	2277.615	2277.615	26.9	26.9	2019/09/19	IP	33.9
CRISPR02M.35	15	2029.18	2029.18	25.8	25.8	2019/09/19	IP	30.5
CRISPR02M.21	60	247.805	247.805	10.8	10.8	2019/09/19	IP	33.3
CRISPR02M.22	60	1062.76	1062.76	10.2	10.2	2019/09/19	IP	30.8
CRISPR02M.23	60	392.32	392.32	11.8	11.8	2019/09/19	IP	27.6
CRISPR02M.24	60	2835.47	2835.47	9	9	2019/09/19	IP	29.7
CRISPR02M.25	60	2167.13	2167.13	10.9	10.9	2019/09/19	IP	30.5
CRISPR02M.26	60	544.8	544.8	10.8	10.8	2019/09/19	IP	30.2
CRISPR02M.27	60	727.3	727.3	12.3	12.3	2019/09/19	IP	32
CRISPR02M.28	60	671	671	9.4	9.4	2019/09/19	IP	25
CRISPR02M.29	60	2167.13	2167.13	8.3	8.3	2019/09/19	IP	31.5
CRISPR02M.30	60	358.61	358.61	5.6	5.6	2019/09/19	IP	26.2
CRISPR02M.31	60	1207.74	1207.74	11.2	11.2	2019/09/19	IP	30.5
CRISPR02M.32	60	620.21	620.21	12.7	12.7	2019/09/19	IP	33.8
CRISPR02M.33	60	940.79	940.79	10.2	10.2	2019/09/19	IP	31.4
CRISPR02M.34	60	2190.06	2190.06	12.6	12.6	2019/09/19	IP	33.9
CRISPR02M.35	60	1702.84	1702.84	10.6	10.6	2019/09/19	IP	30.5
CRISPR02M.16	0	240.155	240.155	7	7	2019/09/30	IP	30.3
CRISPR02M.17	0	2641.805	2641.805	6.8	6.8	2019/09/30	IP	33.3
CRISPR02M.18	0	2016.77	2016.77	7.8	7.8	2019/09/30	IP	28.5
CRISPR02M.19	0	1751.435	1751.435	7.4	7.4	2019/09/30	IP	31.3
CRISPR02M.20	0	1705	1705	7.6	7.6	2019/09/30	IP	32.1
CRISPR02M.16	15	499.85	499.85	24.4	24.4	2019/09/30	IP	30.3
CRISPR02M.17	15	3865.33	3865.33	21.6	21.6	2019/09/30	IP	33.3
CRISPR02M.18	15	3439.06	3439.06	9.2	9.2	2019/09/30	IP	28.5
CRISPR02M.19	15	2320.425	2320.425	30.4	30.4	2019/09/30	IP	31.3
CRISPR02M.20	15	2612.755	2612.755	28.1	28.1	2019/09/30	IP	32.1
CRISPR02M.16	60	978.695	978.695	9.1	9.1	2019/09/30	IP	30.3
CRISPR02M.17	60	2189.975	2189.975	8.8	8.8	2019/09/30	IP	33.3
CRISPR02M.18	60	3329.7	3329.7	7	7	2019/09/30	IP	28.5
